Id,No,New,Thick,W/m,Lack,Row,Column,Time (min)
1,12399,12399A,1.8,0.8,42A,1,4,1
2,13361,13361A,1.4,1.19,42A,2,7,1
3,13865,13865A,0,1.21,42B,1,3,1
4,15618,15618A,0,1.12,42B,1,9,1
5,15640,15640B,1.2,1.8,42A,2,18,1
6,126710,12671B,1.5,0.84,42A,2,9,1
7,1004230/B2,10042A,3,2.19,42A,1,1,1
8,1146420/12,11464A,3,1.59,42A,1,14,1
9,12461/1,12461A,2,2.66,42A,1,9,1
10,12641/3,12641A,1.4,1.37,42A,1,6,1
11,14927/2,14927A,1.2,0.46,42A,2,3,1
12,15147/B,15147A,0.75,0.16,42A,1,11,1
13,15615/B,15615A,1.3,0.48,42A,2,13,1
14,5037/B1,05037A,0.8,0.31,42A,1,5,2
15,7011/B,07011A,2.65,1.09,42A,1,17,2
16,05041A-20,05041A,2,0.5,42A,1,12,2
17,14700A-11,14700A,1.1,0.8,42A,1,18,2
18,14653B-/10,14653A,1.2,0.513,42A,4,1,2
19,14752B-/C,14752A,1.3,1.07,42B,1,7,2
20,14753B-/C,14753A,1.5,1.24,42B,1,4,2
21,14801B-/C,14801A,1.2,0.656,42B,2,12,2
22,14856B-/C3,14856A,1.25,0.612,42B,1,6,2
23,14856B-/C4,14856A,1.25,0.567,42B,1,1,2
24,15456B-/C3,15456A,1.5,1.38,42A,1,13,2
25,15456B-/C4,15456A,1.5,1.42,42A,1,2,2
26,15615B-/C1,15615A,1.3,0.51,42B,1,8,2
27,15615B-/C3,15615A,1.3,0.533,42A,2,4,3
28,15640B-/E,15640B,1.2,1.76,42A,2,18,3
29,15648B-/E1,15648A,1.1,0.943,42B,2,17,3
30,15649B-/E,15649A,1.1,0.839,42A,2,1,3
31,15650B-/E,15650B,1.2,0.788,42B,2,16,3
32,15680B-/E,15680A,1.1,0.657,42B,2,14,3
33,15694B-/C,15694B,1.3,1.132,42A,2,15,3
34,15697B-/C,15697A,1.2,1.2,42B,1,5,3
35,15699B-/E1,15699B,1.2,0.628,42B,2,1,3
36,15702B-/E,15702B,1.2,0.598,42B,2,8,3
37,15703B-/E,15703B,1.2,0.767,42B,2,5,3
38,15704B-/E,15704B,1.25,0.714,42B,2,4,3
39,15713B-/E,15713B,1.65,0.8,42B,2,2,3
40,15738B-/E,15738B,1.04,0.362,42A,2,17,14400
41,15739B-/E,15739A,1.5,0.705,42B,2,9,14400
42,15757B-/C,15757A,1.2,0.476,42B,2,13,14400
43,15733B-,15733A,2,1.62,42A,1,10,14400
44,14856B-/C3,14856A,1.3,0.612,42B,1,6,14400
45,14856B-/C4,14856A,1.2,0.567,42B,1,1,14400
46,15687B-/C,15687B,1.3,0.65,42B,2,10,14400
47,15700B-/E,15700B,1.2,0.398,42A,2,14,14400
48,15706B-/E1,15706B,1.2,0.525,42A,2,16,14400
49,15712B-/C,15712B,0.9,0.48,42B,2,3,14400
50,15714B-/E,15714B,1.2,0.465,42B,2,7,14400
51,15718B-/E,15718B,1.2,0.582,42B,2,11,14400
52,15737B-/E,15737B,1.1,0.363,42B,2,6,14400
